rowid,profId,univId,profDept,Class,Easiness,Helpfulness,Clarity,RaterInterest
131,23287,825,Economics,econ103,4,5,4,5
132,23287,825,Economics,Macro103,4,4,4,4
133,23287,825,Economics,Macro103,5,3,3,1
134,23287,825,Economics,Macro103,1,3,3,1
135,23287,825,Economics,Macro101,2,5,5,5
136,23287,825,Economics,macro220,4,5,5,1
137,23287,825,Economics,ECON01,1,1,1,1
138,23287,825,Economics,MACRO101,2,5,4,4
139,23287,825,Economics,Macro103,3,2,4,4
140,23287,825,Economics,econ103,2,1,2,2
141,23287,825,Economics,macro101,2,1,2,1
142,23287,825,Economics,ECON103,2,2,2,1
143,23287,825,Economics,Macro102,3,2,4,4
144,23287,825,Economics,IntroMacr,2,1,2,1
145,23287,825,Economics,MacroH1,2,2,4,3
146,23287,825,Economics,macro103,1,1,1,2
147,23287,825,Economics,macro103,3,2,3,2
148,23287,825,Economics,ECON103,2,2,2,2
149,23287,825,Economics,econ103,3,2,2,2
150,23287,825,Economics,Macro103,2,1,3,2
151,23287,825,Economics,ECON103,2,1,1,1
152,23287,825,Economics,MACROEcon,2,5,4,3
153,23287,825,Economics,MACRO103,1,1,4,2
154,23287,825,Economics,Macro103,2,4,4,4
155,23287,825,Economics,ECON103,3,1,3,4
156,23287,825,Economics,macro103,3,4,4,3
157,23287,825,Economics,econ103,2,2,4,4
158,23287,825,Economics,Macro102,2,3,3,4
159,23287,825,Economics,Macro103,3,5,5,4
160,23287,825,Economics,Macro103,3,5,5,4
161,23287,825,Economics,MICRO101,1,1,1,3
162,23287,825,Economics,ECON103,4,4,5,4
163,23287,825,Economics,MACRO102,4,3,2,5
164,23287,825,Economics,econ102,2,3,4,2
165,23287,825,Economics,Macro103,4,3,3,5
166,23287,825,Economics,Macro04,1,1,2,1
167,23287,825,Economics,ECON220,4,5,4,4
168,23287,825,Economics,MACRO103,3,4,5,4
169,23287,825,Economics,ECO220,4,4,4,2
170,23287,825,Economics,Econ103,4,3,3,2
171,23287,825,Economics,econ103,5,1,2,3
172,23287,825,Economics,Macro103,4,3,3,3
173,23287,825,Economics,MACRO103,3,3,3,5
174,23287,825,Economics,Econ103,4,5,5,5
175,23287,825,Economics,econ103,5,1,2,1
176,23287,825,Economics,ECONMCRO,5,5,4,3
177,23287,825,Economics,macro103,4,3,3,3
178,23287,825,Economics,Econ103,5,3,3,4
179,23287,825,Economics,Econ102,4,4,4,3
180,23287,825,Economics,INTRMACR,3,1,5,4
181,23287,825,Economics,Macro101,4,1,1,2
182,23287,825,Economics,macro103,1,1,1,5
183,23287,825,Economics,Econ103,2,1,2,5
184,23287,825,Economics,Econ301,4,4,3,4
185,23287,825,Economics,MoneyBank,4,4,3,3
186,23287,825,Economics,macro103,3,3,3,3
187,23287,825,Economics,Macro103,4,3,4,5
188,23287,825,Economics,ECON103,2,1,2,1
189,23287,825,Economics,ECON103,5,4,4,3
190,23287,825,Economics,ECON103,4,5,4,4
191,23287,825,Economics,ECON102,4,1,4,4
192,23287,825,Economics,Macro103,3,3,3,3
193,23287,825,Economics,MACRO103,4,4,4,4
194,23287,825,Economics,Macr103,4,5,5,2
195,23287,825,Economics,MACRO103,5,5,5,5
196,23287,825,Economics,MACRO103,4,5,5,5
197,23287,825,Economics,MACROECON,4,4,5,5
198,23287,825,Economics,MacroEcon,4,5,4,4
199,23287,825,Economics,Macro101,4,5,5,2
200,23287,825,Economics,Econ104,5,5,5,5
201,23287,825,Economics,MacroSECT,1,2,2,3
202,23287,825,Economics,MACRO102,4,4,5,5
203,23287,825,Economics,Econ103,2,3,4,3
204,23287,825,Economics,Macro103,3,2,2,3
205,23287,825,Economics,MACRO103,5,5,5,3
206,23287,825,Economics,ECON103,3,2,2,4
207,23287,825,Economics,Macro103,4,4,5,4
208,23287,825,Economics,Macro103,5,5,5,4
209,23287,825,Economics,Macro103,3,4,3,3
210,23287,825,Economics,ECON01,2,5,2,2
211,23287,825,Economics,Macro103,3,1,1,3
212,23287,825,Economics,IntroMacr,3,1,1,3
213,23287,825,Economics,macro1,1,2,2,5
214,23287,825,Economics,Macro103,4,1,2,3
215,23287,825,Economics,Econ104,5,4,5,4
216,23287,825,Economics,intromarc,2,1,1,3
217,23287,825,Economics,Macro101,2,2,2,1
218,23287,825,Economics,Econ103,3,5,4,4
219,23287,825,Economics,macro103,5,5,5,5
220,23287,825,Economics,Econ103,4,5,5,5
221,23287,825,Economics,mandb301,1,5,5,5
222,23287,825,Economics,macroSECT,2,2,2,3
223,23287,825,Economics,IntroMacr,4,4,4,4
224,23287,825,Economics,MacroEcon,1,2,1,5
225,23287,825,Economics,econo301,3,5,5,3
226,23287,825,Economics,econ103,3,2,2,4
227,23287,825,Economics,econ103,1,2,2,2
228,23287,825,Economics,econ301,1,1,2,2
229,23287,825,Economics,MandB301,1,2,2,5
230,23287,825,Economics,ECON103,1,5,3,1
231,23287,825,Economics,intromacr,2,3,2,1
232,23287,825,Economics,ECON103,3,5,5,4
233,23287,825,Economics,MONEY301,1,1,1,5
234,23287,825,Economics,econ103,3,4,1,5
235,23287,825,Economics,"Econ 301",4,3,2,4
236,23287,825,Economics,"Money & Banking",1,4,1,3
237,23287,825,Economics,macro,1,1,1,3
238,23287,825,Economics,macro,2,1,1,3
239,23287,825,Economics,"Macro 103",4,4,4,4
240,23287,825,Economics,"Intro. Macro",5,5,5,5
241,23287,825,Economics,"Intro. to Macro",4,5,5,5
242,23287,825,Economics,Macro,2,2,2,1
243,23287,825,Economics,M&B,3,5,5,5
244,23287,825,Economics,"Intro to Macro",2,1,1,5
245,23287,825,Economics,Money&Bank-ing,2,3,1,3
246,23287,825,Economics,"M&B/ Macro",2,1,1,3
247,23287,825,Economics,"Intro. To macro",1,1,2,3
248,23287,825,Economics,M&B,2,2,2,1
249,23287,825,Economics,"INTro macro",1,1,1,1
250,23287,825,Economics,"Mi/Macro & MB",4,5,4,4
251,23287,825,Economics,"intro macro",2,1,2,1
252,23287,825,Economics,"Intro to Macro",1,1,2,4
253,23287,825,Economics,macro,1,1,1,3
254,23287,825,Economics,Macro,1,1,1,1
255,23287,825,Economics,MACRO,1,1,1,1
256,23287,825,Economics,"INtro Micro",1,1,1,4
257,23287,825,Economics,Macroecono-mics,1,1,1,5
258,23287,825,Economics,Macro,1,1,1,2
259,23287,825,Economics,"M &B",1,1,1,5
260,23287,825,Economics,"Money & Banking",1,1,1,3
261,23287,825,Economics,macro,1,1,1,1
262,23287,825,Economics,Macro,1,2,1,2
263,23287,825,Economics,Macroecono-mics,1,1,1,5
264,23287,825,Economics,"Intro to Macro",3,4,5,4
265,23287,825,Economics,"MB & Macro",2,2,3,4
266,23287,825,Economics,"Intro to Macro",4,4,3,3
267,23287,825,Economics,"intro macro",4,3,2,4
268,23287,825,Economics,Money+Bank-ing,3,5,5,3
269,23287,825,Economics,"money & banking",3,4,5,3
270,23287,825,Economics,"Intro to Macro",4,4,5,4
271,23287,825,Economics,"Money & Banking",4,2,3,4
272,23287,825,Economics,Macro,5,5,5,3
273,23287,825,Economics,"M&B 301",3,5,4,5
274,23287,825,Economics,Macro,4,4,4,3
275,23287,825,Economics,"Intro to Macro",1,1,1,3
276,23287,825,Economics,"Money and Banki",5,5,5,5
277,23287,825,Economics,"Intro to MacroE",4,4,4,5
278,23287,825,Economics,Macroecono-mics,2,1,1,2
279,23287,825,Economics,Macro,4,1,3,4
280,23287,825,Economics,macro,1,1,1,3
281,23287,825,Economics,"Intro Macro",3,3,4,3
282,23287,825,Economics,"Macro 103",1,1,1,3
283,23287,825,Economics,Macroecono-mics,4,3,1,2
284,23287,825,Economics,"intro macro",2,2,3,4
285,23287,825,Economics,"M&B 301",5,5,3,5
286,23287,825,Economics,"Intro Macro",3,2,2,4
287,23287,825,Economics,M&B,5,5,5,5
288,23287,825,Economics,macroecono-mics,2,5,3,3
289,23287,825,Economics,"Intro Macro",3,3,3,3
290,23287,825,Economics,M&B,3,3,4,1
291,23287,825,Economics,"Intro To Macro",2,2,2,5
292,23287,825,Economics,"intro macroecon",4,4,3,1
293,23287,825,Economics,M&B,4,5,5,4
294,23287,825,Economics,"Intro to Macro",5,5,5,2
295,23287,825,Economics,"Intro to Macro",4,3,3,4
296,23287,825,Economics,Macro,2,1,1,3
297,23287,825,Economics,macro,3,2,2,4
298,23287,825,Economics,"M and Banking",2,5,5,5
299,23287,825,Economics,macro,1,2,3,4
300,23287,825,Economics,Macro,3,5,4,3
301,23287,825,Economics,"Money n Banking",5,4,2,1
302,23287,825,Economics,Macro,3,1,1,3
303,23287,825,Economics,MACROECON,5,4,4,3
304,23287,825,Economics,"Intro to Macro",4,4,3,4
305,23287,825,Economics,"Econ 103",4,4,4,2
306,23287,825,Economics,M&B,2,5,5,4
307,23287,825,Economics,220:103,4,5,5,1
308,158893,825,Economics,"Intro Macro",3,3,3,2
309,158893,825,Economics,"econ 300",2,2,2,4
310,158893,825,Economics,"Macro 102",3,3,4,4
311,158893,825,Economics,ECON,1,1,1,3
312,158893,825,Economics,"Managerial Econ",4,5,5,3
313,158893,825,Economics,macro102,1,1,5,3
314,158893,825,Economics,Macro101,2,3,3,1
315,158893,825,Economics,Macro,2,2,1,2
316,158893,825,Economics,Macro,2,1,2,3
317,158893,825,Economics,macro,4,3,4,3
318,158893,825,Economics,macro,4,3,3,5
319,158893,825,Economics,MicrpEcon,3,3,3,3
320,158893,825,Economics,"Micro Economics",2,1,2,3
321,158893,825,Economics,"Macro Econ",2,2,3,2
322,158893,825,Economics,1033,1,1,3,5
323,158893,825,Economics,MACRO101,4,3,2,4
324,158893,825,Economics,ECON300,1,1,1,1
325,158893,825,Economics,Econ103,4,3,3,4
326,158893,825,Economics,Micro101,2,1,4,1
327,158893,825,Economics,Macro100,1,1,1,1
328,158893,825,Economics,Macro102,5,3,3,1
329,158893,825,Economics,macro103,4,2,4,3
330,158893,825,Economics,Macro103,3,3,2,3
331,158893,825,Economics,macro103,2,2,2,4
332,158893,825,Economics,Macro103,3,4,5,3
333,158893,825,Economics,Econ103,5,3,4,3
334,158893,825,Economics,Macro103,3,2,1,1
335,158893,825,Economics,macro103,4,4,4,3
336,158893,825,Economics,MACRO103,2,2,2,4
337,158893,825,Economics,MacroEcon,3,3,2,4
338,158893,825,Economics,Econ101,3,5,5,5
339,158893,825,Economics,Eco70,3,4,5,5
340,158893,825,Economics,InterEcon,2,3,4,3
341,158893,825,Economics,macro101,1,3,2,4
342,158893,825,Economics,intlecon,2,3,4,2
343,158893,825,Economics,MACRO103,2,2,2,1
344,158893,825,Economics,macro103,3,3,4,4
345,158893,825,Economics,Macro103,2,3,5,3
346,158893,825,Economics,econ103,5,1,3,3
347,158893,825,Economics,ECON103,4,2,4,4
348,158893,825,Economics,Macro103,3,5,5,4
349,158893,825,Economics,Trade335,1,5,5,3
350,158893,825,Economics,Macro103,4,4,4,5
351,158893,825,Economics,Macro102,3,1,1,5
352,158893,825,Economics,MACRO102,1,1,1,1
353,158893,825,Economics,macroecon,5,5,5,3
354,158893,825,Economics,Econ103,4,2,3,4
355,158893,825,Economics,Macro103,1,1,2,3
